Smoother_GS,CGS,Smoother_JAC,Smoother,Smoother_GSRB,Smoother_GSRBAC,CGS_IP_CG,Smoother_GSACBE,CGS_IP_AMG,CGS_RED_AMG,Smoother_GSAC,numCore,post,pre,performance
0,1,0,1,1,0,0,0,1,0,0,256,4,4,403.522
0,1,0,1,0,0,0,1,0,1,0,1024,3,3,2176.76
0,1,0,1,0,0,0,1,0,1,0,4096,5,6,4044.75
1,1,0,1,0,0,0,0,1,0,0,4096,1,6,268.132
1,1,0,1,0,0,1,0,0,0,0,4096,0,3,217.017
0,1,1,1,0,0,1,0,0,0,0,256,1,5,238.627
0,1,0,1,0,0,1,0,0,0,1,1024,6,2,331.967
0,1,0,1,0,0,0,1,1,0,0,256,2,4,2182.01
0,1,1,1,0,0,0,0,0,1,0,1024,3,0,186.054
0,1,0,1,1,0,0,0,1,0,0,1024,6,2,403.019
0,1,0,1,0,0,1,1,0,0,0,64,4,6,3594.93
0,1,0,1,0,1,1,0,0,0,0,256,3,0,218.062
0,1,0,1,1,0,0,0,0,1,0,64,6,2,418.073
1,1,0,1,0,0,0,0,1,0,0,256,1,2,150.337
0,1,0,1,0,0,0,1,0,1,0,64,1,2,1111.95
1,1,0,1,0,0,0,0,1,0,0,256,3,6,290.557
0,1,0,1,0,1,0,0,0,1,0,4096,5,0,341.664
0,1,0,1,0,1,0,0,0,1,0,1024,6,0,373.811
0,1,0,1,0,0,0,1,0,1,0,64,0,5,1800.58
0,1,1,1,0,0,0,0,1,0,0,4096,1,0,121.714
0,1,0,1,0,0,0,0,0,1,1,1024,1,1,168.231
1,1,0,1,0,0,0,0,0,1,0,4096,2,2,222.254
0,1,0,1,0,0,1,1,0,0,0,64,2,6,2896.17
0,1,0,1,0,0,0,0,1,0,1,1024,3,5,299.897
0,1,0,1,0,1,0,0,1,0,0,64,4,4,428.234
0,1,0,1,0,1,0,0,0,1,0,256,4,5,511.503
0,1,0,1,0,0,1,0,0,0,1,4096,5,2,350.202
0,1,0,1,1,0,0,0,1,0,0,1024,2,0,163.19
0,1,0,1,0,0,0,1,0,1,0,256,4,1,1852.96
0,1,0,1,0,0,0,1,1,0,0,4096,0,1,455.376
1,1,0,1,0,0,0,0,0,1,0,4096,0,6,285.02
0,1,0,1,0,0,0,1,0,1,0,1024,6,4,3541.63
0,1,0,1,1,0,0,0,1,0,0,4096,3,2,301.076
1,1,0,1,0,0,1,0,0,0,0,1024,5,3,303.085
0,1,0,1,0,1,0,0,1,0,0,4096,2,6,467.04
0,1,0,1,0,1,0,0,0,1,0,64,0,1,136.746
0,1,0,1,0,1,0,0,0,1,0,256,2,4,376.845
0,1,1,1,0,0,0,0,0,1,0,256,5,4,323.506
0,1,0,1,0,0,1,1,0,0,0,64,0,2,790.322
0,1,0,1,1,0,0,0,1,0,0,4096,0,5,304.349
0,1,0,1,0,1,1,0,0,0,0,4096,3,3,429.106
0,1,0,1,0,0,1,0,0,0,1,64,2,3,217.515
0,1,0,1,0,1,0,0,0,1,0,64,5,4,492.759
0,1,0,1,0,0,0,0,1,0,1,256,0,2,134.914
0,1,1,1,0,0,0,0,1,0,0,256,5,0,201.402
0,1,0,1,0,0,0,1,1,0,0,1024,1,1,762.256
0,1,0,1,1,0,1,0,0,0,0,256,6,3,456.357
0,1,0,1,0,1,1,0,0,0,0,4096,0,2,235.639
0,1,0,1,0,0,1,1,0,0,0,1024,0,1,467.085
0,1,0,1,0,0,0,0,1,0,1,64,4,3,266.982
0,1,0,1,0,0,1,1,0,0,0,1024,2,5,2579.53
1,1,0,1,0,0,1,0,0,0,0,256,2,2,184.046
0,1,0,1,1,0,0,0,1,0,0,256,3,6,444.065
0,1,0,1,0,1,1,0,0,0,0,1024,0,1,139.393
0,1,0,1,1,0,0,0,0,1,0,256,0,5,306.005
0,1,0,1,0,0,0,0,0,1,1,256,2,6,330.074
1,1,0,1,0,0,1,0,0,0,0,256,1,3,184.754
0,1,0,1,0,1,1,0,0,0,0,64,5,3,435.986
1,1,0,1,0,0,0,0,1,0,0,4096,1,3,192.306
0,1,0,1,1,0,0,0,1,0,0,4096,0,6,347.77
0,1,0,1,0,1,0,0,0,1,0,256,4,1,326.48
1,1,0,1,0,0,0,0,1,0,0,64,4,6,311.187
0,1,1,1,0,0,0,0,0,1,0,64,0,5,217.579
0,1,0,1,0,1,0,0,0,1,0,256,1,0,146.784
0,1,0,1,1,0,1,0,0,0,0,64,6,3,443.839
0,1,0,1,1,0,0,0,0,1,0,64,5,3,416.262
1,1,0,1,0,0,0,0,1,0,0,256,2,5,243.489
0,1,0,1,0,0,0,0,0,1,1,256,4,1,236.709
0,1,0,1,0,1,0,0,0,1,0,256,6,4,555.384
0,1,0,1,0,0,0,0,0,1,1,64,5,6,396.15
0,1,0,1,0,1,0,0,0,1,0,1024,6,3,531.121
0,1,0,1,1,0,0,0,0,1,0,256,6,1,386.566
0,1,0,1,0,0,0,0,0,1,1,1024,5,2,315.622
0,1,0,1,0,0,0,1,0,1,0,1024,3,6,3208.46
0,1,0,1,0,0,0,0,0,1,1,1024,1,6,330.307
0,1,0,1,0,0,0,1,1,0,0,1024,4,0,1438.08
0,1,0,1,0,0,0,0,0,1,1,64,2,6,314.13
0,1,1,1,0,0,0,0,0,1,0,1024,2,6,316.698
0,1,0,1,0,0,1,0,0,0,1,64,2,1,162.644
0,1,0,1,0,0,0,0,0,1,1,1024,5,0,246.141
0,1,0,1,0,0,0,1,0,1,0,64,1,1,771.305
0,1,0,1,0,0,0,1,0,1,0,256,1,4,1875.13
1,1,0,1,0,0,0,0,0,1,0,4096,5,3,329.277
0,1,1,1,0,0,0,0,1,0,0,64,3,2,199.991
0,1,0,1,0,0,0,1,0,1,0,64,5,3,2805.08
1,1,0,1,0,0,0,0,1,0,0,4096,5,6,361.163
0,1,0,1,0,0,0,1,1,0,0,4096,5,5,3634.64
0,1,0,1,0,0,0,1,1,0,0,256,2,3,1828.59
0,1,0,1,0,1,1,0,0,0,0,64,1,1,168.712
0,1,0,1,0,0,1,1,0,0,0,4096,1,6,2649.47
0,1,0,1,0,0,1,0,0,0,1,4096,5,4,403.293
1,1,0,1,0,0,0,0,0,1,0,256,3,6,317.496
1,1,0,1,0,0,1,0,0,0,0,256,1,4,209.142
0,1,0,1,0,0,0,1,1,0,0,1024,5,1,2123.17
0,1,0,1,0,0,1,1,0,0,0,64,1,2,1140.75
0,1,0,1,0,0,0,1,1,0,0,256,6,3,3217.51
0,1,0,1,1,0,0,0,1,0,0,64,5,0,282.952
1,1,0,1,0,0,0,0,0,1,0,4096,0,3,196.697
0,1,0,1,0,0,0,1,1,0,0,4096,1,6,2589.24
1,1,0,1,0,0,0,0,0,1,0,4096,2,6,329.318
0,1,0,1,1,0,1,0,0,0,0,256,1,4,295.1
0,1,0,1,0,0,1,1,0,0,0,4096,6,3,3346.38
0,1,0,1,0,1,0,0,1,0,0,64,4,2,342.111
1,1,0,1,0,0,1,0,0,0,0,4096,2,4,291.8
0,1,0,1,1,0,1,0,0,0,0,4096,1,3,308.79
0,1,0,1,0,0,0,0,0,1,1,4096,4,5,406.249
1,1,0,1,0,0,1,0,0,0,0,1024,5,4,324.521
1,1,0,1,0,0,0,0,1,0,0,256,4,1,195.888
0,1,0,1,0,0,0,0,1,0,1,4096,4,3,300.05
1,1,0,1,0,0,0,0,0,1,0,256,1,5,243.058
0,1,0,1,0,0,0,1,1,0,0,4096,4,6,3628.81
0,1,0,1,1,0,1,0,0,0,0,1024,1,2,230.178
0,1,0,1,0,0,0,1,0,1,0,256,3,3,2218.93
0,1,0,1,0,0,0,0,1,0,1,64,3,4,267.642
0,1,0,1,1,0,0,0,0,1,0,1024,4,3,404.023
0,1,0,1,0,0,1,0,0,0,1,1024,0,4,226.643
0,1,0,1,0,0,1,0,0,0,1,1024,5,2,305.458
0,1,0,1,0,0,0,0,0,1,1,256,5,2,297.208
0,1,0,1,0,1,0,0,0,1,0,4096,1,2,277.541
0,1,0,1,0,0,1,0,0,0,1,64,3,6,327.068
0,1,0,1,0,1,1,0,0,0,0,1024,3,1,290.159
0,1,0,1,0,1,0,0,1,0,0,256,2,0,167.785
0,1,0,1,1,0,1,0,0,0,0,1024,2,0,177.496
1,1,0,1,0,0,1,0,0,0,0,256,1,5,233.556
0,1,0,1,0,0,1,1,0,0,0,1024,3,1,1512.48
0,1,0,1,0,0,0,0,1,0,1,1024,4,5,326.722
0,1,0,1,0,0,0,1,1,0,0,256,2,0,771.238
0,1,0,1,0,0,1,0,0,0,1,256,1,5,257.837
0,1,1,1,0,0,0,0,0,1,0,64,0,6,241.138
0,1,0,1,1,0,1,0,0,0,0,64,0,4,242.595
0,1,0,1,0,0,0,1,1,0,0,256,1,3,1484.38
0,1,1,1,0,0,0,0,0,1,0,4096,3,5,331.844
0,1,0,1,1,0,1,0,0,0,0,1024,0,2,178.785
0,1,0,1,0,0,0,0,0,1,1,64,4,0,199.975
0,1,0,1,0,0,0,1,0,1,0,1024,3,4,2528.04
0,1,0,1,0,0,0,0,1,0,1,4096,0,2,155.808
0,1,0,1,0,0,1,1,0,0,0,64,1,6,2549.32
0,1,0,1,0,0,1,1,0,0,0,64,4,2,2190.42
0,1,1,1,0,0,0,0,0,1,0,4096,4,0,216.641
1,1,0,1,0,0,1,0,0,0,0,256,2,4,233.541
0,1,1,1,0,0,1,0,0,0,0,1024,4,3,282.014
0,1,0,1,1,0,0,0,0,1,0,4096,3,6,506.924
1,1,0,1,0,0,0,0,1,0,0,1024,2,2,176.67
0,1,0,1,0,1,1,0,0,0,0,1024,6,6,640.115
0,1,0,1,1,0,0,0,0,1,0,256,6,4,511.929
1,1,0,1,0,0,0,0,0,1,0,4096,4,3,301.808
0,1,0,1,1,0,0,0,1,0,0,1024,1,1,162.73
1,1,0,1,0,0,0,0,0,1,0,4096,1,3,222.833
0,1,0,1,0,1,0,0,1,0,0,1024,1,6,393.12
0,1,0,1,1,0,1,0,0,0,0,256,3,4,376.982
0,1,0,1,0,0,1,0,0,0,1,1024,4,5,361.76
0,1,0,1,0,0,0,1,1,0,0,1024,4,1,1782.18
0,1,0,1,0,1,0,0,1,0,0,256,1,4,300.448
0,1,0,1,1,0,0,0,1,0,0,64,0,3,200.333
0,1,0,1,1,0,0,0,1,0,0,64,6,4,481.017
1,1,0,1,0,0,0,0,1,0,0,256,6,5,335.456
0,1,1,1,0,0,1,0,0,0,0,64,0,1,100.795
0,1,0,1,0,1,0,0,1,0,0,4096,4,2,375.99
0,1,0,1,1,0,0,0,1,0,0,64,3,3,321.423
1,1,0,1,0,0,0,0,1,0,0,4096,3,1,189.114
0,1,0,1,0,0,0,1,0,1,0,1024,0,6,2202.82
1,1,0,1,0,0,1,0,0,0,0,256,5,2,256.368
0,1,0,1,0,1,1,0,0,0,0,1024,3,6,515.616
1,1,0,1,0,0,1,0,0,0,0,4096,4,5,360.984
0,1,0,1,0,1,1,0,0,0,0,256,4,4,446.644
0,1,0,1,0,0,1,0,0,0,1,256,6,5,390.522
0,1,1,1,0,0,1,0,0,0,0,4096,4,3,317.313
1,1,0,1,0,0,1,0,0,0,0,4096,2,6,342.977
0,1,0,1,0,0,1,0,0,0,1,1024,6,3,358.854
0,1,0,1,0,0,0,0,1,0,1,256,1,0,107.284
1,1,0,1,0,0,0,0,1,0,0,1024,1,2,153.54
0,1,0,1,0,1,0,0,0,1,0,256,2,0,191.1
0,1,1,1,0,0,0,0,0,1,0,4096,3,0,192.495
0,1,0,1,0,1,0,0,0,1,0,256,2,6,467.053
0,1,0,1,0,1,1,0,0,0,0,1024,4,6,559.557
1,1,0,1,0,0,0,0,0,1,0,4096,4,4,328.367
0,1,0,1,0,0,0,0,1,0,1,64,0,2,134.043
0,1,0,1,0,0,0,1,0,1,0,4096,0,1,481.309
0,1,0,1,0,0,0,0,0,1,1,1024,2,2,233.27
1,1,0,1,0,0,1,0,0,0,0,4096,1,6,319.324
1,1,0,1,0,0,0,0,1,0,0,256,4,3,242.904
0,1,0,1,0,0,1,0,0,0,1,64,1,1,135.351
0,1,0,1,0,1,0,0,0,1,0,64,6,1,398.347
0,1,0,1,1,0,0,0,0,1,0,256,3,4,389.381
1,1,0,1,0,0,0,0,0,1,0,4096,0,5,256.457
1,1,0,1,0,0,0,0,1,0,0,1024,4,3,246.444
0,1,0,1,0,1,0,0,1,0,0,4096,3,5,466.557
0,1,0,1,0,1,0,0,1,0,0,4096,5,1,371.17
0,1,0,1,1,0,1,0,0,0,0,4096,4,6,556.551
0,1,0,1,0,0,1,0,0,0,1,1024,3,1,219.738
0,1,0,1,0,1,0,0,0,1,0,256,3,1,279.739
0,1,1,1,0,0,0,0,0,1,0,64,4,3,265.813
0,1,1,1,0,0,0,0,1,0,0,64,4,1,199.83
1,1,0,1,0,0,1,0,0,0,0,4096,3,2,260.662
1,1,0,1,0,0,1,0,0,0,0,64,5,4,290.927
1,1,0,1,0,0,1,0,0,0,0,256,0,5,209.907
1,1,0,1,0,0,0,0,0,1,0,256,1,2,172.543
0,1,0,1,0,0,0,1,0,1,0,1024,2,6,2871.17
0,1,0,1,0,0,0,1,0,1,0,4096,0,5,1935.62
1,1,0,1,0,0,0,0,0,1,0,1024,6,3,336.102
0,1,0,1,0,0,0,0,1,0,1,4096,1,1,151.806
1,1,0,1,0,0,1,0,0,0,0,1024,4,5,325.294
0,1,1,1,0,0,0,0,1,0,0,1024,3,2,206.63
1,1,0,1,0,0,0,0,0,1,0,256,4,5,317.373
0,1,0,1,1,0,0,0,1,0,0,1024,6,6,567.388
0,1,0,1,0,0,1,1,0,0,0,64,2,0,777.809
1,1,0,1,0,0,0,0,1,0,0,64,1,2,149.019
0,1,0,1,1,0,1,0,0,0,0,256,1,3,254.744
0,1,1,1,0,0,1,0,0,0,0,64,2,0,126.927
0,1,0,1,0,0,1,0,0,0,1,256,1,1,144.692
0,1,0,1,0,1,1,0,0,0,0,1024,6,4,553.356
0,1,0,1,0,0,0,1,0,1,0,4096,2,4,2283.22
0,1,0,1,0,0,0,0,0,1,1,1024,3,1,226.309
1,1,0,1,0,0,1,0,0,0,0,64,3,5,270.254
0,1,1,1,0,0,1,0,0,0,0,1024,4,0,193.621
0,1,0,1,0,0,1,1,0,0,0,4096,5,6,4052.69
0,1,1,1,0,0,1,0,0,0,0,64,2,2,176.876
0,1,0,1,0,0,0,0,1,0,1,64,4,6,349.083
0,1,0,1,0,1,0,0,0,1,0,4096,1,5,425.3
0,1,0,1,1,0,0,0,0,1,0,256,0,4,264.987
0,1,0,1,0,1,1,0,0,0,0,1024,2,6,472.541
0,1,1,1,0,0,0,0,1,0,0,4096,2,2,196.096
0,1,0,1,0,0,0,0,0,1,1,1024,6,3,373.154
0,1,0,1,0,0,0,0,1,0,1,256,3,5,295.609
1,1,0,1,0,0,0,0,0,1,0,64,4,3,256.732
0,1,0,1,0,0,0,1,0,1,0,4096,5,2,2618.16
0,1,0,1,0,1,1,0,0,0,0,256,6,4,535.335
1,1,0,1,0,0,0,0,0,1,0,1024,1,5,264.018
0,1,0,1,1,0,0,0,0,1,0,64,5,1,333.928
0,1,0,1,0,0,0,0,0,1,1,256,0,3,185.809
1,1,0,1,0,0,1,0,0,0,0,256,1,1,132.977
0,1,0,1,0,0,0,0,1,0,1,4096,3,4,300.405
0,1,1,1,0,0,0,0,1,0,0,64,5,4,297.367
0,1,0,1,0,0,0,1,0,1,0,4096,2,5,2633.06
0,1,0,1,0,0,0,1,1,0,0,64,1,3,1434.01
0,1,0,1,0,1,1,0,0,0,0,64,4,0,257.167
0,1,0,1,0,0,0,1,0,1,0,4096,6,1,2621.4
0,1,1,1,0,0,1,0,0,0,0,64,2,5,252.187
0,1,0,1,1,0,0,0,0,1,0,64,0,3,214.449
0,1,0,1,1,0,0,0,1,0,0,256,5,6,523.404
0,1,0,1,1,0,0,0,1,0,0,1024,5,0,281.637
0,1,0,1,0,1,1,0,0,0,0,256,0,6,359.665
0,1,0,1,0,0,0,1,0,1,0,4096,2,1,1200.37
0,1,0,1,0,1,0,0,0,1,0,64,1,1,180.55
0,1,1,1,0,0,0,0,0,1,0,1024,4,6,368.301
0,1,0,1,0,0,1,0,0,0,1,256,2,1,172.821
0,1,0,1,0,0,0,0,1,0,1,256,4,0,186.37
1,1,0,1,0,0,1,0,0,0,0,256,0,2,134.669
0,1,0,1,0,0,1,0,0,0,1,256,4,6,363.99
0,1,0,1,0,0,0,0,0,1,1,256,6,0,263.646
1,1,0,1,0,0,0,0,0,1,0,4096,2,5,301.099
1,1,0,1,0,0,0,0,0,1,0,4096,3,0,188.304
0,1,0,1,0,0,1,0,0,0,1,4096,5,3,382.72
0,1,0,1,1,0,0,0,1,0,0,1024,1,2,204.254
0,1,1,1,0,0,1,0,0,0,0,256,2,5,263.164
0,1,0,1,0,1,0,0,0,1,0,64,1,6,406.849
0,1,0,1,0,0,0,1,0,1,0,1024,6,3,3200.85
0,1,0,1,0,0,0,0,0,1,1,1024,0,1,140.682
0,1,1,1,0,0,0,0,0,1,0,4096,5,4,354.811
1,1,0,1,0,0,0,0,0,1,0,4096,2,3,251.577
0,1,0,1,0,0,0,1,0,1,0,4096,1,6,2637.37
0,1,1,1,0,0,0,0,0,1,0,256,4,6,350.416
0,1,0,1,0,1,0,0,0,1,0,1024,0,6,399.137
0,1,0,1,1,0,0,0,1,0,0,4096,5,1,340.601
0,1,0,1,0,0,0,1,0,1,0,64,4,0,1438.34
0,1,0,1,0,1,0,0,1,0,0,256,4,3,386.607
0,1,1,1,0,0,0,0,0,1,0,4096,1,1,170.991
0,1,0,1,0,0,0,1,1,0,0,256,6,6,4267.32
0,1,0,1,0,0,1,1,0,0,0,256,1,2,1110.36
0,1,1,1,0,0,1,0,0,0,0,64,5,6,347.896
0,1,1,1,0,0,0,0,1,0,0,64,0,6,224.993
0,1,0,1,0,1,0,0,0,1,0,4096,3,1,316.749
0,1,0,1,0,0,1,1,0,0,0,1024,6,0,2197.9
1,1,0,1,0,0,0,0,0,1,0,256,2,5,269.37
0,1,1,1,0,0,0,0,0,1,0,256,5,3,299.356
0,1,0,1,0,1,0,0,0,1,0,64,1,0,137.249
0,1,0,1,0,1,0,0,1,0,0,1024,1,0,126.816
1,1,0,1,0,0,0,0,0,1,0,1024,0,3,184.652
0,1,0,1,0,1,1,0,0,0,0,1024,4,5,512.519
1,1,0,1,0,0,1,0,0,0,0,1024,4,4,302.761
1,1,0,1,0,0,0,0,1,0,0,64,5,6,333.84
0,1,0,1,0,1,1,0,0,0,0,4096,6,3,558.029
0,1,0,1,1,0,0,0,1,0,0,64,3,0,199.77
1,1,0,1,0,0,0,0,0,1,0,64,0,2,139.437
0,1,1,1,0,0,0,0,0,1,0,256,3,4,275.463
0,1,0,1,1,0,0,0,1,0,0,256,2,0,161.144
0,1,0,1,1,0,0,0,1,0,0,1024,3,2,284.472
0,1,0,1,1,0,0,0,0,1,0,256,2,6,430.241
0,1,0,1,0,1,1,0,0,0,0,1024,0,2,195.951
0,1,0,1,0,1,0,0,0,1,0,4096,6,5,654.309
0,1,0,1,1,0,0,0,0,1,0,256,3,0,224.144
0,1,0,1,0,0,0,1,0,1,0,256,2,2,1512.1
0,1,1,1,0,0,1,0,0,0,0,4096,1,2,197.3
0,1,1,1,0,0,0,0,1,0,0,4096,4,2,244.438
0,1,0,1,0,1,0,0,1,0,0,64,5,2,384.945
0,1,1,1,0,0,1,0,0,0,0,256,5,5,335.265
0,1,0,1,0,0,1,0,0,0,1,4096,2,4,324.342
0,1,0,1,0,0,0,1,1,0,0,4096,6,4,3630.25
0,1,0,1,0,0,0,1,0,1,0,4096,0,3,1217.31
0,1,1,1,0,0,0,0,1,0,0,256,2,5,251.837
0,1,0,1,0,1,0,0,1,0,0,256,6,2,430.039
0,1,0,1,0,0,0,1,0,1,0,1024,2,5,2529.51
0,1,0,1,0,1,0,0,1,0,0,4096,2,3,330.93
0,1,0,1,0,0,0,0,0,1,1,1024,1,0,139.147
0,1,0,1,0,1,0,0,1,0,0,1024,4,5,478.974
0,1,1,1,0,0,0,0,0,1,0,1024,1,1,164.331
0,1,0,1,0,1,0,0,1,0,0,64,2,6,430.706
0,1,0,1,1,0,0,0,1,0,0,4096,0,2,177.701
0,1,1,1,0,0,0,0,1,0,0,1024,5,2,254.699
0,1,1,1,0,0,0,0,0,1,0,256,6,0,249.395
0,1,1,1,0,0,0,0,0,1,0,1024,1,2,183.711
0,1,0,1,0,1,0,0,1,0,0,256,0,1,124.454
0,1,0,1,0,0,0,1,1,0,0,64,0,5,1782.65
0,1,0,1,0,1,0,0,0,1,0,4096,0,2,214.381
0,1,0,1,0,0,0,1,0,1,0,4096,4,5,3329.48
0,1,0,1,0,0,0,0,1,0,1,4096,6,1,293.332
1,1,0,1,0,0,0,0,0,1,0,64,6,3,302.801
1,1,0,1,0,0,0,0,0,1,0,1024,4,3,287.342
0,1,0,1,1,0,0,0,1,0,0,256,1,6,363.713
0,1,0,1,1,0,1,0,0,0,0,64,6,4,486.267
0,1,0,1,0,0,0,0,0,1,1,1024,2,6,356.018
0,1,0,1,0,0,0,1,1,0,0,256,6,0,2156.63
0,1,0,1,1,0,0,0,1,0,0,4096,1,2,219.003
0,1,0,1,0,0,1,0,0,0,1,4096,6,1,344.488
1,1,0,1,0,0,0,0,0,1,0,256,5,4,317.088
0,1,1,1,0,0,1,0,0,0,0,1024,3,2,229.301
0,1,0,1,0,0,0,0,0,1,1,4096,2,0,173.891
0,1,0,1,0,0,0,1,0,1,0,64,5,2,2464.05
0,1,0,1,0,0,0,1,0,1,0,4096,3,5,2992.62
1,1,0,1,0,0,0,0,0,1,0,256,1,3,196.567
0,1,0,1,0,0,0,1,1,0,0,256,1,2,1131.52
0,1,1,1,0,0,0,0,0,1,0,4096,5,2,300.32
0,1,0,1,0,0,0,0,0,1,1,64,5,5,368.906
0,1,0,1,0,0,0,1,1,0,0,256,4,3,2520.68
1,1,0,1,0,0,1,0,0,0,0,4096,3,0,194.277
1,1,0,1,0,0,0,0,1,0,0,256,4,4,266.113
0,1,0,1,0,0,0,1,1,0,0,64,1,5,2117.21
0,1,0,1,0,0,1,1,0,0,0,1024,3,6,3276.81
0,1,0,1,1,0,0,0,0,1,0,256,3,2,305.123
1,1,0,1,0,0,0,0,1,0,0,64,1,0,102.543
0,1,0,1,0,0,1,0,0,0,1,1024,0,6,284.748
0,1,0,1,0,0,0,0,0,1,1,1024,5,5,411.197
0,1,1,1,0,0,0,0,0,1,0,4096,1,3,221.761
0,1,0,1,0,0,1,1,0,0,0,4096,0,6,2296.78
0,1,0,1,0,0,0,0,1,0,1,4096,2,2,212.317
0,1,1,1,0,0,0,0,1,0,0,1024,0,5,207.573
0,1,1,1,0,0,1,0,0,0,0,64,6,4,322.741
0,1,0,1,0,0,1,0,0,0,1,256,5,0,221.948
0,1,0,1,0,0,0,1,0,1,0,4096,1,3,1569.9
1,1,0,1,0,0,1,0,0,0,0,1024,0,2,150.662
0,1,0,1,1,0,1,0,0,0,0,1024,4,5,477.911
0,1,1,1,0,0,0,0,0,1,0,4096,4,3,300.996
1,1,0,1,0,0,0,0,1,0,0,256,5,4,288.662
0,1,0,1,0,0,0,0,0,1,1,4096,4,4,375.195
0,1,0,1,1,0,0,0,1,0,0,1024,5,3,404.677
