no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref_1,ref_5,ref_9,PERF
0,0,0,1,0,1,0,0,0,1,1,0,0,279.533
0,0,1,1,1,0,1,0,0,1,0,1,0,573.24
0,0,0,1,1,0,1,0,1,0,0,0,1,817.34
1,0,1,1,1,0,0,0,0,1,0,1,0,544.823
0,0,1,1,0,0,1,0,0,1,0,0,1,745.443
0,1,0,1,0,1,1,0,0,1,1,0,0,270.063
1,1,1,0,1,0,1,1,0,0,1,0,0,275.433
1,0,1,1,0,0,1,0,0,1,0,0,1,715.583
1,1,0,0,1,0,0,0,0,1,0,1,0,485.59
1,1,0,0,0,1,1,1,0,0,0,1,0,362.613
0,1,1,1,0,1,1,0,0,1,1,0,0,269.493
1,1,1,0,1,0,1,0,0,1,1,0,0,275.427
1,1,0,1,0,1,0,1,0,0,1,0,0,249.73
0,1,1,0,0,1,0,0,1,0,0,1,0,379.457
1,0,1,0,1,1,1,0,0,1,0,0,1,561.333
0,1,0,0,0,1,1,0,0,1,0,1,0,381.213
0,0,1,0,0,1,1,0,0,1,0,0,1,510.89
0,0,0,1,0,0,0,0,1,0,0,1,0,515.543
1,0,1,1,1,1,0,0,0,1,0,1,0,462.74
0,1,1,0,1,1,0,1,0,0,0,1,0,427.66
1,1,0,0,0,0,0,1,0,0,0,1,0,416.887
1,0,1,1,0,0,1,1,0,0,0,0,1,713.39
1,1,1,0,1,1,0,0,1,0,0,0,1,555.613
1,0,0,1,1,0,1,0,1,0,0,0,1,780.757
1,1,0,1,1,0,1,1,0,0,0,1,0,535.697
1,1,0,1,0,1,1,0,1,0,0,1,0,428.16
1,0,0,1,1,1,1,1,0,0,1,0,0,291.61
0,1,1,0,0,0,0,0,1,0,0,0,1,607.537
0,1,0,1,0,0,0,0,1,0,1,0,0,268.787
0,0,1,1,0,0,1,0,1,0,0,0,1,744.26
1,1,0,1,1,0,1,0,1,0,0,0,1,773.22
1,0,1,0,1,1,1,0,1,0,0,1,0,413.88
1,1,1,0,0,0,1,0,0,1,1,0,0,247.517
1,1,1,0,0,1,0,0,1,0,1,0,0,246.273
0,0,0,0,0,0,0,1,0,0,1,0,0,268.72
0,1,1,1,0,0,0,0,1,0,1,0,0,268.397
1,1,1,1,0,1,0,1,0,0,1,0,0,249.44
1,1,0,1,0,1,0,0,0,1,0,0,1,611.6
0,0,1,0,0,0,1,1,0,0,0,1,0,444.52
0,0,0,1,1,1,1,0,1,0,0,1,0,482.613
0,1,0,1,0,0,0,1,0,0,0,0,1,730.01
0,1,1,1,1,0,0,1,0,0,1,0,0,299.637
0,1,0,1,1,0,1,1,0,0,0,1,0,562.183
0,1,1,0,1,0,0,1,0,0,0,0,1,716.033
0,1,0,0,0,0,1,0,1,0,1,0,0,262.567
0,0,0,0,0,1,1,1,0,0,0,1,0,380.84
0,1,1,0,1,0,1,0,0,1,0,0,1,715.747
0,0,0,1,1,1,0,0,0,1,0,1,0,482.817
1,0,1,0,1,1,0,0,0,1,0,0,1,561.933
0,1,0,0,0,1,1,1,0,0,1,0,0,260.38
1,0,1,0,0,0,1,0,1,0,0,0,1,589.74
1,0,1,1,1,0,0,1,0,0,0,1,0,545.017
0,0,1,1,1,1,1,1,0,0,0,1,0,482.083
1,0,1,1,0,1,1,0,1,0,0,1,0,432.77
1,0,1,0,0,0,1,0,0,1,0,1,0,427.797
0,0,1,1,0,0,0,0,1,0,0,0,1,744.893
1,0,1,1,1,1,0,0,1,0,0,0,1,651.49
1,0,0,1,1,1,1,0,0,1,0,1,0,463.5
1,1,1,1,1,1,0,0,1,0,0,1,0,455.68
0,0,0,0,0,1,1,0,0,1,0,1,0,383.89
1,1,0,0,0,1,0,1,0,0,1,0,0,244.433
0,1,1,1,1,0,1,0,1,0,1,0,0,299.627
0,1,0,0,1,1,1,0,0,1,1,0,0,295.683
1,0,1,1,1,0,1,1,0,0,0,0,1,783.493
0,1,0,0,0,1,0,0,1,0,0,0,1,509.37
0,0,0,0,1,1,1,0,1,0,0,0,1,580.627
1,0,0,0,1,0,1,0,0,1,0,0,1,687.033
1,0,0,0,1,1,1,0,0,1,1,0,0,287.063
1,0,0,1,1,0,1,0,1,0,1,0,0,291.577
1,0,1,0,1,0,0,1,0,0,0,1,0,494.257
1,0,1,1,0,0,1,0,0,1,0,1,0,495.45
0,0,1,1,0,0,1,0,0,1,1,0,0,279.083
0,0,1,1,0,1,0,0,0,1,0,1,0,449.383
0,1,0,0,0,1,0,1,0,0,0,0,1,507.247
0,1,0,0,1,1,0,0,1,0,0,1,0,428.383
1,1,1,1,1,1,0,1,0,0,1,0,0,279.153
0,0,0,0,0,1,0,0,0,1,1,0,0,272.13
0,1,1,0,0,1,1,0,1,0,1,0,0,262.277
1,0,1,0,1,0,1,0,0,1,0,0,1,690.39
0,0,1,0,1,1,0,1,0,0,0,1,0,432.773
0,1,0,0,1,0,1,1,0,0,0,1,0,511.48
1,0,1,1,1,1,1,0,0,1,1,0,0,291.237
0,0,1,0,0,0,1,0,1,0,0,1,0,446.6
1,0,0,0,1,0,0,0,1,0,0,0,1,687.6
1,1,1,1,1,0,1,1,0,0,0,1,0,536.95
0,0,0,0,1,1,0,1,0,0,1,0,0,305.26
1,1,1,1,0,0,0,1,0,0,1,0,0,249.363
1,1,1,1,0,1,1,0,0,1,0,1,0,428.157
1,1,1,1,0,0,1,0,1,0,0,1,0,487.057
0,1,1,0,1,0,0,0,0,1,0,1,0,513.523
0,1,0,1,1,0,0,0,1,0,0,1,0,562.677
1,1,1,1,0,1,0,0,0,1,0,1,0,428.263
0,0,0,1,0,1,0,0,0,1,0,1,0,450.157
1,0,0,0,1,0,1,1,0,0,0,0,1,687.093
1,1,0,1,0,1,1,0,0,1,0,1,0,429.257
1,1,1,1,1,1,1,0,1,0,1,0,0,279.193
1,1,1,1,1,1,1,0,0,1,0,0,1,644.033
0,0,0,1,0,0,1,1,0,0,1,0,0,275.92
0,0,0,0,1,0,1,0,0,1,0,1,0,518.96
1,1,0,0,1,1,1,0,1,0,0,0,1,556.307
1,1,0,1,0,0,1,0,1,0,0,0,1,705.213
1,1,0,0,0,0,1,0,0,1,0,0,1,581.717
0,0,1,1,0,0,0,0,0,1,0,1,0,518.8
1,0,0,0,0,1,1,0,0,1,1,0,0,257.877
1,0,1,0,0,0,0,0,1,0,0,1,0,427.07
1,0,1,0,0,0,0,0,0,1,0,1,0,428.027
0,0,1,1,0,0,0,1,0,0,1,0,0,275.427
1,1,0,0,1,1,0,0,0,1,0,1,0,408.683
0,1,0,0,0,0,0,0,1,0,1,0,0,262.563
1,0,0,0,1,1,1,1,0,0,0,0,1,561.96
1,1,0,1,1,0,1,0,0,1,0,0,1,773.463
1,0,0,0,0,1,0,0,0,1,0,0,1,499.27
1,1,1,1,0,0,0,0,1,0,1,0,0,251.573
1,0,0,1,0,0,1,0,0,1,1,0,0,264.287
1,0,1,0,0,0,0,0,1,0,1,0,0,256.333
1,0,1,1,0,1,0,1,0,0,0,1,0,431
1,1,0,0,0,1,1,0,1,0,0,0,1,492.937
0,1,1,1,0,0,1,1,0,0,0,1,0,506.93
1,0,1,0,0,0,0,1,0,0,0,0,1,588.673
1,0,1,1,1,1,0,0,1,0,1,0,0,291.173
0,1,1,0,0,1,1,1,0,0,1,0,0,259.84
1,1,0,0,0,1,1,0,0,1,1,0,0,247.693
1,0,0,0,1,0,1,1,0,0,0,1,0,492.267
0,1,0,0,0,1,0,0,0,1,1,0,0,263.887
0,0,0,1,0,1,1,1,0,0,0,1,0,447.137
0,1,1,0,0,0,1,0,0,1,0,1,0,440.41
0,1,1,0,0,0,0,0,1,0,0,1,0,439.607
1,0,1,1,0,1,1,0,1,0,1,0,0,262.51
1,0,0,1,0,0,0,0,1,0,0,1,0,493.893
0,0,0,1,0,0,1,1,0,0,0,0,1,739.903
1,0,0,0,1,0,1,0,0,1,1,0,0,287.107
1,1,0,0,0,0,1,0,1,0,1,0,0,246.41
1,0,0,0,0,0,1,0,1,0,1,0,0,256.667
0,1,1,0,1,0,0,0,1,0,0,1,0,513.233
0,1,1,0,0,1,0,0,0,1,1,0,0,263.403
1,0,1,1,1,1,0,1,0,0,0,0,1,651.703
0,1,0,1,0,1,1,0,1,0,0,1,0,445.457
1,1,1,1,1,1,1,0,1,0,0,1,0,455.4
0,0,1,0,0,0,1,1,0,0,1,0,0,267.853
0,0,0,0,1,1,1,0,1,0,0,1,0,433.153
1,0,1,0,1,0,1,0,1,0,1,0,0,286.4
1,0,0,1,1,0,0,0,0,1,0,1,0,543.523
0,1,1,0,0,1,0,0,1,0,1,0,0,262.17
0,1,1,0,0,0,1,0,1,0,0,1,0,439.26
0,0,0,0,0,1,0,0,1,0,0,0,1,511.153
1,0,0,1,0,0,0,0,0,1,1,0,0,264.293
1,0,0,0,0,1,1,1,0,0,1,0,0,254.707
1,0,1,0,1,0,0,0,0,1,0,0,1,690.873
0,0,1,0,0,1,1,1,0,0,0,1,0,380.1
1,0,0,0,1,1,1,0,0,1,0,1,0,414.67
1,0,1,0,0,1,0,1,0,0,0,1,0,367.067
1,1,1,1,1,0,1,0,1,0,0,0,1,775.54
1,1,1,0,1,1,1,0,0,1,0,1,0,407.763
0,0,0,1,0,1,0,0,1,0,1,0,0,278.227
1,1,1,0,0,0,0,0,0,1,0,0,1,584.977
1,0,0,0,0,0,1,0,1,0,0,0,1,587.24
1,1,1,0,1,0,1,0,1,0,0,0,1,683.257
1,1,1,1,1,0,0,0,1,0,0,0,1,775.663
1,0,1,1,1,0,1,1,0,0,0,1,0,544.507
0,1,1,0,1,0,1,0,1,0,0,0,1,715.907
1,1,0,1,1,0,0,1,0,0,0,1,0,535.627
1,1,1,0,0,0,1,0,0,1,0,1,0,420.683
1,1,0,0,0,1,0,0,1,0,0,0,1,493.277
1,0,0,0,0,1,1,1,0,0,0,1,0,367.543
0,0,0,1,1,1,0,0,1,0,0,1,0,482.877
0,1,1,0,0,1,1,1,0,0,0,1,0,377.503
0,0,0,1,1,0,0,1,0,0,1,0,0,310.58
0,1,1,0,1,1,1,1,0,0,1,0,0,295.41
0,0,1,1,0,1,0,1,0,0,0,1,0,446.68
1,1,1,1,0,0,1,1,0,0,1,0,0,249.463
1,0,1,1,1,0,0,1,0,0,1,0,0,291.01
0,0,1,0,1,0,0,0,1,0,0,0,1,726.79
0,1,0,1,0,1,1,0,1,0,0,0,1,628.497
1,0,0,0,0,1,0,0,1,0,0,0,1,498.49
0,0,0,1,1,1,0,0,1,0,0,0,1,672.413
0,1,1,1,0,0,0,1,0,0,0,1,0,507.403
0,1,0,0,1,0,1,0,1,0,0,0,1,712.637
0,0,1,1,0,1,0,0,1,0,0,0,1,631.283
0,0,0,0,1,0,0,1,0,0,0,0,1,721.487
0,1,1,0,0,1,1,0,1,0,0,1,0,379.4
1,1,1,0,1,1,1,0,1,0,0,0,1,555.26
0,0,1,1,1,1,0,1,0,0,0,1,0,482.373
1,0,0,1,1,1,1,0,1,0,0,1,0,463.347
0,0,0,1,1,1,1,0,0,1,1,0,0,310.673
0,0,1,1,0,0,0,0,1,0,0,1,0,518.143
1,1,1,1,0,0,1,1,0,0,0,0,1,704.807
0,0,0,1,0,0,1,0,1,0,0,1,0,515.663
1,1,0,0,1,0,0,0,1,0,1,0,0,276.01
0,0,1,0,0,0,1,1,0,0,0,0,1,614.57
1,0,0,1,1,0,1,1,0,0,0,1,0,543.03
0,0,0,1,1,0,0,0,1,0,0,1,0,571.397
0,0,1,0,1,0,1,1,0,0,1,0,0,304.997
0,0,1,0,1,1,0,0,0,1,0,0,1,580.477
1,0,0,0,1,1,1,0,1,0,1,0,0,287.037
0,1,0,1,1,0,0,0,1,0,1,0,0,299.813
0,0,0,1,1,1,1,0,1,0,0,0,1,672.213
0,0,1,0,1,0,0,1,0,0,0,1,0,521.7
0,1,1,1,1,1,1,1,0,0,1,0,0,299.703
0,1,0,1,1,0,1,1,0,0,0,0,1,807.017
1,1,1,1,0,0,0,0,0,1,0,0,1,707.597
1,1,0,0,0,1,1,0,0,1,0,0,1,493.543
1,0,0,0,1,0,0,0,0,1,1,0,0,287.113
1,0,1,1,1,0,1,0,0,1,0,0,1,783.517
0,1,1,1,0,0,1,0,1,0,0,0,1,733.217
0,0,1,0,1,0,0,0,1,0,1,0,0,305.173
1,0,0,1,0,1,1,0,1,0,0,1,0,433.693
0,0,1,1,1,1,0,0,0,1,0,1,0,482.377
0,0,0,0,0,1,0,1,0,0,1,0,0,268.773
1,0,0,1,1,1,1,0,1,0,1,0,0,291.603
1,0,0,1,1,0,0,0,1,0,0,0,1,780.93
1,1,0,0,1,0,1,1,0,0,0,0,1,680.617
1,0,0,1,0,0,0,0,0,1,0,1,0,494.597
0,1,1,0,0,0,0,0,0,1,0,1,0,440.673
0,0,0,0,0,1,0,0,1,0,1,0,0,270.66
0,1,1,0,0,0,0,1,0,0,0,0,1,605.273
1,0,0,1,0,0,1,0,1,0,0,0,1,712.667
0,0,0,0,0,0,0,0,1,0,0,0,1,612.97
1,1,0,0,1,1,0,1,0,0,0,1,0,408.84
1,0,1,0,0,1,0,0,0,1,1,0,0,257.407
1,0,1,0,1,0,0,0,1,0,0,1,0,494.233
0,1,1,1,0,1,0,1,0,0,1,0,0,266.22
0,0,0,1,1,1,0,0,0,1,1,0,0,310.673
1,1,0,0,1,0,1,0,0,1,0,0,1,680.727
0,1,0,1,1,0,0,1,0,0,0,1,0,562.57
0,1,1,1,1,0,1,1,0,0,0,0,1,809.57
1,0,1,0,0,1,0,0,1,0,1,0,0,256.34
0,0,1,1,1,1,1,0,1,0,1,0,0,310.283
1,0,0,1,0,1,0,0,1,0,0,1,0,433.86
0,1,1,0,0,0,1,0,1,0,1,0,0,262.29
1,0,0,0,1,0,0,1,0,0,1,0,0,287.01
0,1,0,1,0,1,1,1,0,0,0,1,0,443.647
1,1,0,1,0,1,0,0,1,0,0,0,1,610.957
1,1,1,1,1,1,0,1,0,0,0,0,1,644.157
1,0,0,1,1,1,0,0,0,1,0,0,1,652.483
0,1,1,0,1,0,0,0,1,0,1,0,0,295.427
1,1,1,1,0,1,0,1,0,0,0,1,0,425.247
1,0,0,1,0,0,1,1,0,0,0,1,0,491.687
0,1,1,1,1,0,0,1,0,0,0,1,0,564.093
1,1,0,1,0,0,0,1,0,0,0,0,1,704.22
0,0,1,0,0,1,0,0,1,0,0,1,0,382.12
0,1,0,0,1,1,0,0,0,1,0,0,1,576.48
0,0,1,0,0,0,1,0,0,1,1,0,0,271.38
1,0,1,0,0,1,1,1,0,0,1,0,0,254.013
1,1,0,0,1,1,0,0,1,0,0,0,1,556.513
0,1,1,1,1,0,0,0,0,1,0,0,1,809.807
1,1,0,1,0,1,1,1,0,0,0,1,0,426.443
0,0,0,0,0,0,1,1,0,0,0,1,0,442.547
1,0,1,1,1,0,0,1,0,0,0,0,1,784.02
0,0,1,1,1,0,1,0,0,1,0,0,1,821.51
0,1,1,0,0,1,1,0,1,0,0,0,1,508.003
1,0,0,1,0,0,0,1,0,0,0,1,0,492.127
0,0,0,0,1,1,0,0,1,0,1,0,0,305.503
1,0,1,1,1,0,0,0,0,1,0,0,1,783.783
1,1,0,0,1,1,0,0,1,0,0,1,0,408.75
1,0,0,0,0,0,0,0,1,0,0,0,1,587.773
1,0,0,1,1,1,0,0,1,0,0,1,0,463.39
1,1,1,1,0,0,0,1,0,0,0,1,0,485.537
1,0,1,0,1,1,0,1,0,0,0,0,1,561.79
0,0,0,1,0,1,1,1,0,0,1,0,0,275.957
0,0,1,0,1,1,1,0,0,1,0,1,0,432.677
0,1,0,0,0,1,1,0,1,0,1,0,0,262.53
0,0,1,0,1,0,1,0,1,0,1,0,0,305.04
0,0,1,1,0,0,1,0,0,1,0,1,0,518.567
0,1,1,1,0,1,0,0,0,1,1,0,0,269.583
0,0,1,1,1,0,0,0,0,1,0,1,0,573.757
0,0,1,1,0,0,0,1,0,0,0,0,1,743.163
0,0,1,0,1,1,0,0,0,1,1,0,0,305.027
1,0,1,0,1,1,1,1,0,0,0,0,1,561.373
0,1,1,0,1,1,0,0,0,1,0,0,1,575.663
1,0,0,1,1,0,1,0,0,1,0,1,0,543.083
0,1,1,1,1,0,1,0,0,1,1,0,0,299.797
1,0,1,0,1,1,1,0,0,1,1,0,0,286.457
0,1,1,1,1,1,1,0,0,1,0,1,0,476.093
0,1,1,1,0,0,0,0,1,0,0,1,0,509.273
0,1,1,0,0,1,1,1,0,0,0,0,1,506.223
0,1,0,1,0,0,1,0,0,1,1,0,0,269.95
1,0,0,1,1,1,0,0,1,0,1,0,0,291.673
1,1,0,1,1,0,0,0,1,0,0,0,1,773.387
1,1,1,0,0,0,0,0,1,0,0,0,1,583.527
0,0,1,0,0,0,0,0,1,0,0,0,1,616.62
0,1,1,1,0,1,1,1,0,0,0,1,0,442.5
1,1,1,1,1,0,1,1,0,0,1,0,0,279.15
1,0,1,1,0,0,0,0,1,0,0,0,1,715.25
1,0,1,0,1,0,0,0,0,1,0,1,0,494.34
1,1,1,0,0,1,0,0,0,1,0,1,0,365.04
0,0,1,0,0,0,0,0,0,1,0,0,1,617.42
0,1,1,1,1,1,1,0,1,0,0,0,1,665.23
1,0,0,0,1,1,1,0,1,0,0,1,0,414.687
1,0,1,0,1,0,1,0,1,0,0,1,0,493.71
0,1,0,0,1,0,1,1,0,0,0,0,1,712.81
0,0,1,0,0,1,1,0,0,1,1,0,0,271.403
0,0,1,1,0,0,0,0,0,1,0,0,1,745.597
1,1,1,0,0,1,1,1,0,0,0,1,0,361.703
1,0,1,1,0,1,1,1,0,0,0,1,0,430.697
0,1,0,0,0,0,0,0,0,1,0,1,0,439.107
0,0,0,1,0,0,1,0,1,0,1,0,0,278.12
